Variable,Restrictions,content map,category tab,section,role(s),id,name,label,dbo,control,type,options / datalist,placeholder / caption,value / default,size,maxlength,min,max,spellcheck,required,reqmsg,helpmsg,validation,pattern (regexp),title / invalid msg,transforms,triggers,assumptions,autofocus,autocomplete,bookpage(s),FrontCover,BackCover,Spine,Congradulations,TOC,fieldofplay,School,Athletic_Director,coaches photo,team photo,CoachQuote,Head_Coach,Coaches_Corner,People_Made_Difference,Player_Facts,Player_Stories,Letter_Player-to-Parent,Letter_Parent-to-Player,Memory_Notes,Favorite_Photos,Teammates_Remember,TeamMatesProfile,PlayerQuote
{{LetterToParentPhoto3}},portrit or landscape,letters.playertoparent.photo_103.image,BuildMemoryBook,LetterPlayerToParentSection,Player,,,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letter_Player-to-Parent,,,,,,
{{LetterToParentBodyText}},required; min 1; max 2000,letters.playertoparent.bodytext,BuildMemoryBook,LetterPlayerToParentSection,Player,,,,,,,,,,,,1,2000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letter_Player-to-Parent,,,,,,
{{LetterToParentClosing}},required; min 1; max 33,letters.playertoparent.closing,BuildMemoryBook,LetterPlayerToParentSection,Player,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letter_Player-to-Parent,,,,,,
{{LetterToParentSignature}},min 1; max 33,letters.playertoparent.signature,BuildMemoryBook,ParentLetterToPlayerSection,Parent,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letter_Parent-to-Player,,,,,
{{PlayerInformalName}},required; min 1; max 13,letters.player.person.informalname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerLastInitial}},min 1; max 1;,letters.player.person.lastinitial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{LetterToParentLayout}},left or right,letters.playertoparent.layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letter_Player-to-Parent,,,,,,
{{PlayerGender}},required,letters.player.person.gender,,,,,,,,,,,,,,,,,,TRUE,,,,,Gender is Required,,,,,,,,,,,,,,,,,,,,,,,,Letter_Parent-to-Player,,,,,
{{CelebrationImage1}},requried,letters.group.typeimage1,,,,,,,,input,file,,,,,,,,,TRUE,,,,,Sport Is Required,,,,,,,,,,,,,,,,,,,,,,,,Letter_Parent-to-Player,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{LetterToPlayerSectionTitle}},required; min 1; max 50,letters.parenttoplayer.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{LetterToPlayerSectionHeadline}},,letters.parenttoplayer.section.headline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{LetterToPlayerSectionSubhead}},,letters.parenttoplayer.section.subhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{LetterToPlayerPageTitle}},required; min 1; max 50,letters.parenttoplayer.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{LetterToPlayerGreeting}},required; min 1; max 26,letters.parenttoplayer.greeting,BuildMemoryBook,ParentLetterToPlayerSection,Parent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerInformalName}},required; min 1; max 13,letters.player.person.informalname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerLastInitial}},min 1; max 1;,letters.player.person.lastinitial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{LetterToPlayerPhoto1}},portrit or landscape,letters.parenttoplayer.photo_101.image,BuildMemoryBook,ParentLetterToPlayerSection,Parent,,,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letter_Parent-to-Player,,,,,
{{LetterToPlayerPhoto2}},portrit or landscape,letters.parentotplayer.photo_102.image,BuildMemoryBook,ParentLetterToPlayerSection,Parent,,,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letter_Parent-to-Player,,,,,
{{LetterToPlayerPhoto3}},portrit or landscape,letters.parentotplayer.photo_103.image,BuildMemoryBook,ParentLetterToPlayerSection,Parent,,,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letter_Parent-to-Player,,,,,
{{CelebrationImage1}},required,letters.group.typeimage1,,,,,,,,,,,,,,,,,,TRUE,,,,,Sport Is Required,,,,,,,,,,,,,,,,,,,,,,,,Letter_Parent-to-Player,,,,,
{{PlayerGender}},required,letters.player.person.gender,,,,,,,,,,,,,,,,,,TRUE,,,,,Gender is Required,,,,,,,,,,,,,,,,,,,,,,,,Letter_Parent-to-Player,,,,,
{{LetterToPlayerBodyText}},required; min 1; max 2000,letters.parenttoplayer.bodytext,BuildMemoryBook,ParentLetterToPlayerSection,Parent,,,,,,,,,,,,1,2000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letter_Parent-to-Player,,,,,
{{LetterToPlayerClosing}},required; min 1; max 33,letters.parenttoplayer.closing,BuildMemoryBook,ParentLetterToPlayerSection,Parent,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letter_Parent-to-Player,,,,,
{{LetterToPlayerSignature}},min 1; max 33,letters.parenttoplayer.signature,BuildMemoryBook,ParentLetterToPlayerSection,Parent,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letter_Parent-to-Player,,,,,
{{LetterToPlayerLayout}},left or right,letters.parenttoplayer.layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letter_Parent-to-Player,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{NoteToPlayerSectionTitle}},required; min 1; max 50,notes.notetomember.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{NoteToPlayerSectionHeadline}},,notes.notetomember.section.headline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{NoteToPlayerSectionSubhead}},,notes.notetomember.section.subhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{NoteToPlayerPageTitle}},required; min 1; max 50,notes.notetomember.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Memory_Notes,,,,
{{CelebrationImage1}},required,notes.group.typeimage1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Memory_Notes,,,,
{{PlayerGender}},"required; Male, Female, blank",notes.player.person.gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Memory_Notes,,,,
{{PrimarySchoolColor}},required; 1 of 32 options,notes.notetomember.organization.primarycolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Memory_Notes,,,,
{{SecondarySchoolColor}},,notes.notetomember.organization.secondarycolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Memory_Notes,,,,
{{NoteToPlayerPhoto1}},portrit or landscape,notes.notetomember.photo_101.image,BuildMemoryBook,NoteToPlayerSection,"Player, Parent, Staff",,,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Memory_Notes,,,,
{{NoteToPlayerBodyText}},required; min 1 max 275,notes.notetomember.bodytext,BuildMemoryBook,NoteToPlayerSection,"Player, Parent, Staff",,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Memory_Notes,,,,
{{NoteToPlayerClosing}},max 33,notes.notetomember.closing,BuildMemoryBook,NoteToPlayerSection,"Player, Parent, Staff",,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Memory_Notes,,,,
{{NoteToPlayerSignature}},max 33; ,notes.notetomember.signature,BuildMemoryBook,NoteToPlayerSection,"Player, Parent, Staff",,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Memory_Notes,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SchoolInformationSectionHeadline}},,school.section.headline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SchoolInformationSectionSubhead}},,school.section.subhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrganizationUID,,organization.uid,,,,,OrganizationUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchoolCode,,organization.code,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrganizationType,School,organization.type,Team Setup,SchoolInformationSection,Leader,,OrganizationType,,,,,,,,,,,,,TRUE,,,,,School Name Is Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SchoolFullName}},required; min 1; max 50,organization.name,Team Setup,SchoolInformationSection,Leader,,OrganizationName,,,,,,,,,,,,,TRUE,,,,,School Description Is Required,,,,,,,FrontCover,BackCover,Spine,,,,School,,,,,,,,,,,,,,,,
{{SchoolDescription}},required: min 1l max ???,organization.description,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,School,,,,,,,,,,,,,,,,
{{SchoolInitials}},min 2; max 3;,organization.initials,Team Setup,SchoolInformationSection,Leader,,OrganizationInitials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SchoolAbbrevName}},,organization.abbrev,Team Setup,SchoolInformationSection,Leader,,OrganizationAbbrevName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SchoolFirstLetter}},min 1; max 1,organization.firstletter,Team Setup,SchoolInformationSection,Leader,,OrganizationFirstLetter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SchoolLogo}},required,organization.logo,Team Setup,SchoolInformationSection,Leader,,OgranizationLogo,,,input,file,,,,,,,,,TRUE,,,,,School Logo is Required,,,,,,,,,,,,,School,,,,,,,,,,,,,,,,
AddressUID,,organization.address.uid,Team Setup,SchoolInformationSection,Leader,,AddressUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShoolShipCareOf,,organization.address.careof,Team Setup,SchoolInformationSection,Leader,,ShipCareOf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchoolAddressLine1,,organization.address.address1,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchoolAddressLine2,,organization.address.address2,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchoolLocaleCity,,organization.address.localecity,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchoolRegionState,,organization.address.regionstate,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchoolPostalCode,,organization.address.postalcode,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchoolCountryCode,,organization.address.countrycode,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SchoolSlogan}},,organization.slogan,Team Setup,SchoolInformationSection,Leader,,OrgananizationSlogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchoolQuote,,organization.quote.text,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchoolQuoteCredit,,organization.quote.credit,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SchoolPhoto}},required,organization.photo,Team Setup,SchoolInformationSection,Leader,,OrganizationPhoto,,,,,,,,,,,,,TRUE,School image Is required,,,,School image Is required,,,,,,,,,,,,,School,,,,,,,,,,,,,,,,
{{PrimarySchoolColor}},required; 1 of 32 options,organization.primarycolor,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,FrontCover,BackCover,Spine,,,,School,,,,Head Coach Favorite Quote,Head Coach Page,,,,Interior_Players,Letter_Player-to-Parent,,Memory_Notes,,,,
{{SecondarySchoolColor}},required; 1 of 32 options,organization.secondarycolor,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interior_Players,Letter_Player-to-Parent,,Memory_Notes,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SchoolSectionTitle}},required; min 1; max 50,organization.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SchoolPageTitle}},required; min 1; max 50,organization.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,left,organization.page.layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SchoolFullName}},required; min 1; max 50,organization.name,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,FrontCover,BackCover,Spine,,,,,,,,,,,,,,,,,,,,
{{PrimarySchoolColor}},required; 1 of 32 options,organization.primarycolor,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,FrontCover,BackCover,Spine,,,,,,,,,,,,,,,,,,,,
{{CelebrationImage1}},,group.typeimage_101,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,FrontCover,BackCover,Spine,,,,,,,,,,,,,,,,,,,,
{{PersonFirtLastName}},required; min 1; max 27,person.firstlastname,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,FrontCover,BackCover,Spine,,,,,,,,,,,,,,,,,,,,
{{GroupBookDateYear}},required; min 4; max 4,group.bookdateyear,Team Setup,SchoolInformationSection,Leader,,,,,input,file,,,,,,,,,,,,,,,,,,,,,FrontCover,BackCover,Spine,,,,,,,,,,,,,,,,,,,,
{{SchoolPhoto}},required,organization.photo,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FieldOfPlaySectionTitle}},max 50,group.fieldofplay.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FieldOfPlayPageTitle}},max 50,group.fieldofplay.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FieldOfPlayPhoto}},default group photo,group.fieldofplay.image,Team Setup,TeamPhotosSection,Leader,,,Where they compete,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TeamInformationSectionHeadline}},,team.section.headline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TeamInformationSectionSubhead}},,team.section.subhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TeamSectionTitle}},required; min 1; max 50,team.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TeamPageTitle}},,team.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GroupUID,,group.uid,,,,,GroupUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GroupCode,,group.code,Team Profile,TeamInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TeamType}},required,group.type,Team Profile,TeamInformationSection,Leader,,GroupType,,,,,,,,,,,,,TRUE,Sport Is Required,,,,Sport Is Required,,,,,,,FrontCover,BackCover,Spine,,,,,,,,Head Coach Favorite Quote,,,,,,Letter_Player-to-Parent,Letter_Parent-to-Player,Memory_Notes,,,,
{{CelebrationImage1}},required,group.typeimage1,Team Profile,TeamInformationSection,Leader,,GroupTypeImage,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CelebrationImage2}},,group.typeimage2,Team Profile,TeamInformationSection,Leader,,,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GroupName,,group.name,Team Profile,TeamInformationSection,Leader,,GroupName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GroupInitials,,group.initials,Team Profile,TeamInformationSection,Leader,,GroupInitials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GroupAbbrevName,,group.abbrev,Team Profile,TeamInformationSection,Leader,,GroupAbbrevName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GroupLogo,,group.logo.image,Team Profile,TeamInformationSection,Leader,,GroupLogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TeamMascotImage}},,group.mascot.image,Team Profile,TeamInformationSection,Leader,,GroupMascot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GroupQuote,,group.quote.text,Team Profile,TeamInformationSection,Leader,,GroupQuote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GroupQuoteCredit,,group.quote.credit,Team Profile,TeamInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{GroupBookDateYear}},required; min 4; max 4,group.bookdateyear,Team Profile,TeamInformationSection,Leader,,GroupBookDateYear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GroupLevel,,group.level,Team Profile,TeamInformationSection,Leader,,GroupLevel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TeamPhotosSectionTitle}},,teamphotos.section.title,Team Profile,TeamPhotosSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TeamPhotosSectionHeadline}},,teamphotos.section.headline,Team Profile,TeamPhotosSection,Leader,,,,,,,,,Team Photos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TeamPhotosSectionSubhead}},,teamphotos.section.subhead,Team Profile,TeamPhotosSection,Leader,,,,,,,,,These memories can be a part of each player’s MemoryBook.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TeamPhotosPageTitle}},,teamphotos.page.title,Team Profile,TeamPhotosSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TeamPhoto1}},required,teamphotos.group.photo_101.image,Team Profile,TeamPhotosSection,Leader,,,Varsity Team,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TeamPhoto2}},,teamphotos.group.photo_102.image,Team Profile,TeamPhotosSection,Leader,,,JV Team,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TeamPhoto3}},,teamphotos.group.photo_103.image,Team Profile,TeamPhotosSection,Leader,,,Freshman Team,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CoachingStaffPageTitle}},,staffphoto.page.title,Team Profile,TeamPhotosSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CoachingStaffPhoto}},,staffphoto.group.staffphoto.image,Team Profile,TeamPhotosSection,Leader,imgStaffPhoto,StaffPhotoImage1,Coaching Staff,,input,file,,,,,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersSectionTitle}},required; min 1; max 50,cheerleaders.section.title,Team Profile,CheerleadersProfileSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersSectionHeadline}},,cheerleaders.section.headline,Team Profile,CheerleadersProfileSection,Leader,,,,,,,,,Cheerleaders Profile (Optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersSectionSubhead}},,cheerleaders.section.subhead,Team Profile,CheerleadersProfileSection,Leader,,,,,,,,,Make the cheerleader’s spirit an unforgettable part of your’s Boys Basketball memories.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersPageTitle}},required; min 1; max 50,cheerleaders.page.title,Team Profile,CheerleadersProfileSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersStory}},required; max 70,cheerleaders.story,Team Profile,CheerleadersProfileSection,Leader,txtCheerleadersStory,CheerleadersStory,Cheerleaders Story,,input,text,,,Headline: Cheerleaders Memories (Optional),70,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersPhoto1}},,cheerleaders.photo_101.image,Team Profile,CheerleadersProfileSection,Leader,101_imgCheerleadersPhoto,CheerleadersPhotoImage1,,,input,file,,,,,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersCaption1}},min 1; max 85,cheerleaders.photo_101.caption,Team Profile,CheerleadersProfileSection,Leader,101_txtCheerleadersPhotoCaption,CheerleadersPhotoCaption1,,,input,text,,,"Subhead: Cheering with excitement, they were part of the season.",85,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersPhoto2}},,cheerleaders.photo_102.image,Team Profile,CheerleadersProfileSection,Leader,102_imgCheerleadersPhoto,CheerleadersPhotoImage2,,,input,file,,,,,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersCaption2}},min 1; max 85,cheerleaders.photo_102.caption,Team Profile,CheerleadersProfileSection,Leader,102_txtCheerleadersPhotoCaption,CheerleadersPhotoCaption2,,,input,text,,,Caption: Choose up to 8 exciting cheerleading team photos—included in everyone’s MemoryBook.,85,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersPhoto3}},,cheerleaders.photo_103.image,Team Profile,CheerleadersProfileSection,Leader,103_imgCheerleadersPhoto,CheerleadersPhotoImage3,,,input,file,,,,,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersCaption3}},min 1; max 85,cheerleaders.photo_103.caption,Team Profile,CheerleadersProfileSection,Leader,103_txtCheerleadersPhotoCaption,CheerleadersPhotoCaption3,,,input,text,,,Layout: 8 photo and 8 caption layout,85,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersPhoto4}},,cheerleaders.photo_104.image,Team Profile,CheerleadersProfileSection,Leader,104_imgCheerleadersPhoto,CheerleadersPhotoImage4,,,input,file,,,,,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersCaption4}},min 1; max 85,cheerleaders.photo_104.caption,Team Profile,CheerleadersProfileSection,Leader,104_txtCheerleadersPhotoCaption,CheerleadersPhotoCaption4,,,input,text,,,,85,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersPhoto5}},,cheerleaders.photo_105.image,Team Profile,CheerleadersProfileSection,Leader,105_imgCheerleadersPhoto,CheerleadersPhotoImage5,,,input,file,,,,,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersCaption5}},min 1; max 85,cheerleaders.photo_105.caption,Team Profile,CheerleadersProfileSection,Leader,105_txtCheerleadersPhotoCaption,CheerleadersPhotoCaption5,,,input,text,,,,85,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersPhoto6}},,cheerleaders.photo_106.image,Team Profile,CheerleadersProfileSection,Leader,106_imgCheerleadersPhoto,CheerleadersPhotoImage6,,,input,file,,,,,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersCaption6}},min 1; max 85,cheerleaders.photo_106.caption,Team Profile,CheerleadersProfileSection,Leader,106_txtCheerleadersPhotoCaption,CheerleadersPhotoCaption6,,,input,text,,,,85,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersPhoto7}},,cheerleaders.photo_107.image,Team Profile,CheerleadersProfileSection,Leader,107_imgCheerleadersPhoto,CheerleadersPhotoImage7,,,input,file,,,,,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersCaption7}},min 1; max 85,cheerleaders.photo_107.caption,Team Profile,CheerleadersProfileSection,Leader,107_txtCheerleadersPhotoCaption,CheerleadersPhotoCaption7,,,input,text,,,,85,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersPhoto8}},,cheerleaders.photo_108.image,Team Profile,CheerleadersProfileSection,Leader,108_imgCheerleadersPhoto,CheerleadersPhotoImage8,,,input,file,,,,,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
